i_iter:100500,        miou:33.18000 
i_iter:101000,        miou:33.99000 
i_iter:101500,        miou:34.83000 
i_iter:102000,        miou:32.07000 
i_iter:102500,        miou:31.30000 
i_iter:103000,        miou:29.13000 
i_iter:103500,        miou:29.38000 
i_iter:104000,        miou:31.59000 
i_iter:104500,        miou:31.49000 
i_iter:105000,        miou:30.61000 
i_iter:105500,        miou:32.65000 
i_iter:106000,        miou:33.43000 
i_iter:106500,        miou:32.83000 
i_iter:107000,        miou:34.49000 
i_iter:107500,        miou:32.17000 
i_iter:108000,        miou:32.33000 
i_iter:108500,        miou:34.59000 
i_iter:109000,        miou:33.41000 
i_iter:109500,        miou:35.59000 
i_iter:110000,        miou:35.32000 
i_iter:110500,        miou:34.93000 
i_iter:111000,        miou:32.47000 
i_iter:111500,        miou:31.41000 
i_iter:112000,        miou:32.53000 
i_iter:112500,        miou:32.65000 
i_iter:113000,        miou:35.38000 
i_iter:113500,        miou:35.49000 
i_iter:114000,        miou:34.56000 
i_iter:114500,        miou:35.95000 
i_iter:115000,        miou:35.23000 
i_iter:115500,        miou:37.64000 
i_iter:116000,        miou:33.98000 
i_iter:116500,        miou:31.67000 
i_iter:117000,        miou:31.37000 
i_iter:117500,        miou:34.07000 
i_iter:118000,        miou:35.94000 
i_iter:118500,        miou:31.52000 
i_iter:119000,        miou:31.97000 
i_iter:119500,        miou:33.22000 
i_iter:120000,        miou:32.03000 
i_iter:120500,        miou:32.26000 
i_iter:121000,        miou:31.71000 
i_iter:121500,        miou:33.20000 
i_iter:122000,        miou:35.04000 
i_iter:122500,        miou:34.29000 
i_iter:123000,        miou:32.74000 
i_iter:123500,        miou:36.50000 
i_iter:124000,        miou:32.23000 
i_iter:124500,        miou:34.42000 
i_iter:125000,        miou:35.55000 
i_iter:125500,        miou:34.29000 
i_iter:126000,        miou:31.24000 
i_iter:126500,        miou:29.92000 
i_iter:127000,        miou:33.49000 
i_iter:127500,        miou:35.01000 
i_iter:128000,        miou:34.30000 
i_iter:128500,        miou:29.11000 
i_iter:129000,        miou:34.18000 
i_iter:129500,        miou:34.81000 
i_iter:130000,        miou:32.32000 
i_iter:130500,        miou:33.96000 
i_iter:131000,        miou:35.65000 
i_iter:131500,        miou:31.67000 
i_iter:132000,        miou:33.31000 
i_iter:132500,        miou:34.55000 
i_iter:133000,        miou:34.29000 
i_iter:133500,        miou:37.86000 
